"YYYYMMDD","Wdy","JPY/USD"
20080902,"Tue",108.86
20080903,"Wed",108.18
20080904,"Thu",107.77
20080905,"Fri",106.96
20080908,"Mon",107.98
20080909,"Tue",107.14
20080910,"Wed",107.87
20080911,"Thu",106.68
20080912,"Fri",107.5
20080915,"Mon",105.71
20080916,"Tue",105.03
20080917,"Wed",104.69
20080918,"Thu",104.91
20080919,"Fri",107.2
20080922,"Mon",106.35
20080923,"Tue",105.73
20080924,"Wed",106.03
20080925,"Thu",106.49
20080926,"Fri",106.08
20080929,"Mon",105.13
20080930,"Tue",105.99
20081001,"Wed",106.09
20081002,"Thu",105.27
20081003,"Fri",105.79
20081006,"Mon",101.26
20081007,"Tue",102.29
20081008,"Wed",99.81
20081009,"Thu",100.67
20081010,"Fri",99.47
20081014,"Tue",102.22
20081015,"Wed",101.48
20081016,"Thu",100.44
20081017,"Fri",101.4
20081020,"Mon",101.75
20081021,"Tue",100.43
20081022,"Wed",98.65
20081023,"Thu",97.62
20081024,"Fri",94.24
20081027,"Mon",93.29
20081028,"Tue",95.66
20081029,"Wed",97.53
20081030,"Thu",97.46
20081031,"Fri",98.34
20081103,"Mon",98.96
20081104,"Tue",100.52
20081105,"Wed",98.94
20081106,"Thu",98.08
20081107,"Fri",98.13
20081110,"Mon",97.97
20081112,"Wed",95.53
20081113,"Thu",95.91
20081114,"Fri",96.66
20081117,"Mon",97.07
20081118,"Tue",97.37
20081119,"Wed",96.79
20081120,"Thu",95.01
20081121,"Fri",95.43
20081124,"Mon",96.69
20081125,"Tue",95.53
20081126,"Wed",95.45
20081127,"Thu",95.5
20081128,"Fri",95.46
20081201,"Mon",93.69
20081202,"Tue",93.67
20081203,"Wed",93.27
20081204,"Thu",92.82
20081205,"Fri",92.18
20081208,"Mon",92.78
20081209,"Tue",92.47
20081210,"Wed",92.95
20081211,"Thu",91.95
20081212,"Fri",91.29
20081215,"Mon",90.69
20081216,"Tue",89.99
20081217,"Wed",87.89
20081218,"Thu",89.83
